task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
54	c3/286b42	48831	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (WT_REP2)	COMPLETED	0	2023-07-04 14:52:47.039	9.4s	2s	119.6%	768.2 MB	1.1 GB	5.8 MB	30.7 KB
53	0b/6dbc64	48791	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (WT_REP2)	COMPLETED	0	2023-07-04 14:52:46.975	13.5s	0ms	105.2%	1.9 MB	11.6 MB	6.4 MB	3.1 MB
52	38/3b7d3f	47375	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:52:42.649	21.2s	4s	403.8%	2.1 GB	12.6 GB	24.5 MB	4.3 MB
44	d8/00e640	47373	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:52:42.644	24.9s	4s	326.7%	1.9 GB	12.6 GB	23.5 MB	3.8 MB
58	ab/c85142	50062	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:52:51.991	19.6s	0ms	113.0%	3.1 MB	220.9 MB	1.7 MB	6 KB
60	9f/17a08d	50667	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:52:59.130	16.2s	0ms	98.1%	1.2 MB	15 MB	2 MB	6.8 KB
59	fa/177f48	50722	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:52:59.257	20.1s	0ms	110.9%	1.4 MB	19.8 MB	3.6 MB	635.6 KB
61	c7/a923c7	50784	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2023-07-04 14:53:00.461	22.8s	0ms	118.3%	2.7 MB	156 MB	3.2 MB	6.1 KB
65	c2/c72aed	51509	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:03.886	23.5s	1s	26.4%	3.1 MB	220.9 MB	3.7 MB	6.2 KB
64	3d/7771ad	51822	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:04.546	26.7s	0ms	106.1%	1.7 MB	8.9 MB	3.9 MB	120 KB
62	91/a3afd0	50786	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (WT_REP2)	COMPLETED	0	2023-07-04 14:53:00.465	34.4s	5s	341.1%	2 GB	12.7 GB	24 MB	4.1 MB
57	96/797e8a	51820	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:04.541	34.5s	0ms	105.4%	1.7 MB	8.9 MB	1.9 MB	118 KB
68	de/40d334	51499	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:03.881	39.1s	1s	29.0%	1 MB	11.7 MB	3.9 MB	8.3 KB
67	ff/59b303	51492	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:03.875	43s	0ms	109.5%	1.4 MB	18.3 MB	7.7 MB	898.4 KB
71	f6/c1f5cc	53006	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:07.541	42.9s	0ms	102.0%	1.7 MB	8.9 MB	3.4 MB	119.4 KB
73	d4/2a6e01	53005	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:07.537	46.8s	0ms	117.6%	1.8 MB	9.5 MB	3.2 MB	6.7 KB
74	00/475ff9	53014	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:07.545	52.2s	0ms	104.5%	1 MB	11.7 MB	3.5 MB	6.8 KB
72	7e/379d88	53008	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:07.543	56.4s	0ms	110.6%	1.2 MB	15.7 MB	6.8 MB	949.8 KB
101	94/b15efd	58674	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:54.315	13.6s	4s	365.8%	138.4 MB	2.6 GB	21 MB	1.6 KB
87	50/756446	57574	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.571	21s	5s	364.5%	141.1 MB	2.6 GB	27 MB	1.8 MB
82	52/881626	54065	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:15.410	1m 1s	0ms	54.1%	2.1 MB	9.8 MB	1.8 MB	1.6 KB
102	d4/2e3563	68280	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:54:03.896	16.3s	2s	794.6%	152.7 MB	2.6 GB	26.6 MB	29.5 KB
83	5c/29288c	54791	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:26.798	57.9s	0ms	97.4%	1.7 MB	11.2 MB	199.6 KB	126.8 KB
69	b2/8eaf1c	69412	NFCORE_RNASEQ:RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:54:13.579	15.2s	4s	384.0%	215.9 MB	8.5 GB	35.7 MB	100.1 KB
84	a2/e5f503	54790	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:26.793	1m 6s	0ms	105.6%	1.7 MB	11.2 MB	264.4 KB	191.6 KB
45	d1/e6fa4c	41761	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (WT_REP1)	COMPLETED	0	2023-07-04 14:51:49.605	2m 48s	1m 46s	148.1%	652.8 MB	4.3 GB	98.6 MB	23.6 MB
92	a4/f3940b	55938	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2023-07-04 14:53:34.864	1m 7s	0ms	112.8%	1.9 MB	11.6 MB	3.5 MB	6 KB
93	e3/932d3c	55939	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (WT_REP2)	COMPLETED	0	2023-07-04 14:53:34.867	1m 11s	0ms	102.7%	1.7 MB	8.9 MB	3.7 MB	118.6 KB
97	3a/3dd303	55944	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (WT_REP2)	COMPLETED	0	2023-07-04 14:53:34.870	1m 15s	0ms	103.1%	1.2 MB	15 MB	3.7 MB	7.6 KB
95	55/6e0895	55937	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (WT_REP2)	COMPLETED	0	2023-07-04 14:53:34.860	1m 19s	0ms	109.7%	1.4 MB	19.8 MB	7.3 MB	806.2 KB
48	82/219b2c	54429	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_TXIMPORT	COMPLETED	0	2023-07-04 14:53:24.493	1m 34s	17s	169.6%	628.4 MB	8.7 GB	68.7 MB	62.8 KB
98	67/5cc814	57077	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:43.047	1m 19s	0ms	73.9%	2.1 MB	9.8 MB	1.8 MB	1.6 KB
100	f5/f42519	57249	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:46.886	1m 20s	0ms	103.5%	1.7 MB	11.2 MB	328.6 KB	255.8 KB
99	de/c27e1b	57248	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:46.882	1m 25s	0ms	105.4%	1.7 MB	11.2 MB	266.8 KB	194.1 KB
79	38/4e6f71	57573	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.566	1m 24s	1s	217.7%	35.6 MB	2.6 GB	8.9 MB	393 B
104	a3/7d55a2	58642	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:54.313	1m 25s	2s	214.6%	120.3 MB	2.6 GB	8.9 MB	393 B
89	95/3e07fa	57579	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.575	1m 33s	3s	257.6%	36.3 MB	2.5 GB	21.4 MB	708 B
103	2a/72afbf	58590	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:54.309	1m 34s	4s	235.9%	101.1 MB	2.6 GB	20.9 MB	690 B
85	7c/c63fcd	57588	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.579	1m 40s	3s	204.4%	81.6 MB	2.6 GB	21.4 MB	1.2 KB
75	28/01d644	57599	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.583	1m 43s	3s	261.5%	116 MB	2.6 GB	19.5 MB	1.6 KB
81	46/9ed7f6	57592	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.581	1m 47s	3s	261.8%	95.5 MB	2.6 GB	19.4 MB	1.2 KB
78	1e/3a4a66	57617	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.586	1m 51s	4s	290.3%	219 MB	5.1 GB	25.1 MB	15.9 KB
91	3f/cf66cb	57688	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.596	1m 55s	4s	350.4%	105.1 MB	2.6 GB	27.1 MB	87.9 KB
106	dc/790e4d	58615	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:54.311	1m 55s	4s	235.0%	69.4 MB	2.6 GB	20.9 MB	1.2 KB
90	97/37785b	57661	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.592	2m 2s	4s	264.1%	123.5 MB	2.6 GB	21.5 MB	1.6 KB
80	26/3f806b	57673	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.594	2m 6s	3s	225.1%	65.2 MB	2.6 GB	19.4 MB	690 B
86	95/efe7ad	57609	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.585	2m 10s	4s	293.0%	93.4 MB	4.1 GB	27 MB	15.9 KB
107	2a/835aed	58720	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:53:54.317	2m 11s	4s	391.1%	111.8 MB	5.1 GB	26.6 MB	89 KB
76	08/af5fe5	57646	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.590	2m 17s	4s	291.7%	102 MB	5.1 GB	25.1 MB	21 KB
77	da/9edb51	57627	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:53:51.588	2m 21s	4s	344.5%	208 MB	5.1 GB	25.1 MB	84 KB
88	aa/a0b31d	57582	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:53:51.577	2m 25s	4s	343.1%	48.9 MB	2.6 GB	27 MB	21.6 KB
